batsmanName,runs,balls,minutes,4s,6s,SR,player_link,inning_batted,Average_SR,boundaries,boundary_runs,boundary_percentage,Average_Boundary_Percentage,total_runs,batting_average
Aaron Finch,4,7,16,0,0,57.14,https://www.espncricinfo.com/cricketers/aaron-finch-5334,5,109.426,0,0,0.0,39.40886699507389,86,17.2
Aaron Finch,58,28,49,9,2,207.14,https://www.espncricinfo.com/cricketers/aaron-finch-5334,5,109.426,11,48,82.75862068965517,39.40886699507389,86,17.2
Aaron Finch,3,7,9,0,0,42.85,https://www.espncricinfo.com/cricketers/aaron-finch-5334,5,109.426,0,0,0.0,39.40886699507389,86,17.2
Aaron Finch,14,14,29,1,0,100.0,https://www.espncricinfo.com/cricketers/aaron-finch-5334,5,109.426,1,4,28.57142857142857,39.40886699507389,86,17.2
Aaron Finch,7,5,10,0,1,140.0,https://www.espncricinfo.com/cricketers/aaron-finch-5334,5,109.426,1,6,85.71428571428571,39.40886699507389,86,17.2
Abdul Samad,4,6,8,0,0,66.66,https://www.espncricinfo.com/cricketers/abdul-samad-1175485,2,33.33,0,0,0.0,0.0,4,2.0
Abdul Samad,0,1,2,0,0,0.0,https://www.espncricinfo.com/cricketers/abdul-samad-1175485,2,33.33,0,0,,0.0,4,2.0
Abhijeet Tomar,4,8,15,1,0,50.0,https://www.espncricinfo.com/cricketers/abhijeet-tomar-1081183,1,50.0,1,4,100.0,100.0,4,4.0
Abhinav Manohar,1,2,4,0,0,50.0,https://www.espncricinfo.com/cricketers/abhinav-manohar-778963,7,104.92999999999999,0,0,0.0,47.678110003691394,108,15.428571428571429
Abhinav Manohar,12,12,10,2,0,100.0,https://www.espncricinfo.com/cricketers/abhinav-manohar-778963,7,104.92999999999999,2,8,66.66666666666666,47.678110003691394,108,15.428571428571429
Abhinav Manohar,35,21,29,5,1,166.66,https://www.espncricinfo.com/cricketers/abhinav-manohar-778963,7,104.92999999999999,6,26,74.28571428571429,47.678110003691394,108,15.428571428571429
Abhinav Manohar,15,7,14,3,0,214.28,https://www.espncricinfo.com/cricketers/abhinav-manohar-778963,7,104.92999999999999,3,12,80.0,47.678110003691394,108,15.428571428571429
Abhinav Manohar,43,28,44,4,2,153.57,https://www.espncricinfo.com/cricketers/abhinav-manohar-778963,7,104.92999999999999,6,28,65.11627906976744,47.678110003691394,108,15.428571428571429
Abhinav Manohar,2,4,10,0,0,50.0,https://www.espncricinfo.com/cricketers/abhinav-manohar-778963,7,104.92999999999999,0,0,0.0,47.678110003691394,108,15.428571428571429
Abhinav Manohar,0,1,4,0,0,0.0,https://www.espncricinfo.com/cricketers/abhinav-manohar-778963,7,104.92999999999999,0,0,,47.678110003691394,108,15.428571428571429
Abhishek Sharma,47,28,37,8,1,167.85,https://www.espncricinfo.com/cricketers/abhishek-sharma-1070183,14,112.89285714285714,9,38,80.85106382978722,55.7778651031948,426,30.428571428571427
Abhishek Sharma,7,6,10,1,0,116.66,https://www.espncricinfo.com/cricketers/abhishek-sharma-1070183,14,112.89285714285714,1,4,57.14285714285714,55.7778651031948,426,30.428571428571427
Abhishek Sharma,9,19,42,1,0,47.36,https://www.espncricinfo.com/cricketers/abhishek-sharma-1070183,14,112.89285714285714,1,4,44.44444444444444,55.7778651031948,426,30.428571428571427
Abhishek Sharma,39,24,29,5,1,162.5,https://www.espncricinfo.com/cricketers/abhishek-sharma-1070183,14,112.89285714285714,6,26,66.66666666666666,55.7778651031948,426,30.428571428571427
Abhishek Sharma,9,10,13,1,0,90.0,https://www.espncricinfo.com/cricketers/abhishek-sharma-1070183,14,112.89285714285714,1,4,44.44444444444444,55.7778651031948,426,30.428571428571427
Abhishek Sharma,43,28,-,4,2,153.57,https://www.espncricinfo.com/cricketers/abhishek-sharma-1070183,14,112.89285714285714,6,28,65.11627906976744,55.7778651031948,426,30.428571428571427
Abhishek Sharma,13,11,25,2,0,118.18,https://www.espncricinfo.com/cricketers/abhishek-sharma-1070183,14,112.89285714285714,2,8,61.53846153846154,55.7778651031948,426,30.428571428571427
Abhishek Sharma,65,42,79,6,3,154.76,https://www.espncricinfo.com/cricketers/abhishek-sharma-1070183,14,112.89285714285714,9,42,64.61538461538461,55.7778651031948,426,30.428571428571427
Abhishek Sharma,31,25,51,3,1,124.0,https://www.espncricinfo.com/cricketers/abhishek-sharma-1070183,14,112.89285714285714,4,18,58.06451612903226,55.7778651031948,426,30.428571428571427
Abhishek Sharma,43,32,47,5,2,134.37,https://www.espncricinfo.com/cricketers/abhishek-sharma-1070183,14,112.89285714285714,7,32,74.4186046511628,55.7778651031948,426,30.428571428571427
Abhishek Sharma,42,32,44,6,0,131.25,https://www.espncricinfo.com/cricketers/abhishek-sharma-1070183,14,112.89285714285714,6,24,57.14285714285714,55.7778651031948,426,30.428571428571427
