batsmanName,runs,balls,minutes,4s,6s,SR,player_link,match_id
Yashasvi Jaiswal,22,16,22,1,2,137.50,https://www.espncricinfo.com/cricketers/yashasvi-jaiswal-1151278,scorecard
Jos Buttler,39,35,64,5,0,111.42,https://www.espncricinfo.com/cricketers/jos-buttler-308967,scorecard
Sanju Samson (c)†,14,11,21,2,0,127.27,https://www.espncricinfo.com/cricketers/sanju-samson-425943,scorecard
Devdutt Padikkal,2,10,20,0,0,20.00,https://www.espncricinfo.com/cricketers/devdutt-padikkal-1119026,scorecard
Shimron Hetmyer,11,12,20,2,0,91.66,https://www.espncricinfo.com/cricketers/shimron-hetmyer-670025,scorecard
Ravichandran Ashwin,6,9,22,0,0,66.66,https://www.espncricinfo.com/cricketers/ravichandran-ashwin-26421,scorecard
Riyan Parag,15,15,29,1,0,100.00,https://www.espncricinfo.com/cricketers/riyan-parag-1079434,scorecard
Trent Boult,11,7,10,0,1,157.14,https://www.espncricinfo.com/cricketers/trent-boult-277912,scorecard
Obed McCoy,8,5,12,0,1,160.00,https://www.espncricinfo.com/cricketers/obed-mccoy-906783,scorecard
Prasidh Krishna,0,0,2,0,0,-,https://www.espncricinfo.com/cricketers/prasidh-krishna-917159,scorecard
Wriddhiman Saha †,5,7,8,1,0,71.42,https://www.espncricinfo.com/cricketers/wriddhiman-saha-279810,scorecard
Shubman Gill,45,43,86,3,1,104.65,https://www.espncricinfo.com/cricketers/shubman-gill-1070173,scorecard
Matthew Wade,8,10,16,0,1,80.00,https://www.espncricinfo.com/cricketers/matthew-wade-230193,scorecard
Hardik Pandya (c),34,30,42,3,1,113.33,https://www.espncricinfo.com/cricketers/hardik-pandya-625371,scorecard
David Miller,32,19,23,3,1,168.42,https://www.espncricinfo.com/cricketers/david-miller-321777,scorecard
Virat Kohli,7,8,11,0,1,87.50,https://www.espncricinfo.com/cricketers/virat-kohli-253802,scorecard
Faf du Plessis (c),25,27,50,3,0,92.59,https://www.espncricinfo.com/cricketers/faf-du-plessis-44828,scorecard
Rajat Patidar,58,42,65,4,3,138.09,https://www.espncricinfo.com/cricketers/rajat-patidar-823703,scorecard
Glenn Maxwell,24,13,18,1,2,184.61,https://www.espncricinfo.com/cricketers/glenn-maxwell-325026,scorecard
Mahipal Lomror,8,10,21,0,0,80.00,https://www.espncricinfo.com/cricketers/mahipal-lomror-853265,scorecard
Dinesh Karthik †,6,7,17,0,0,85.71,https://www.espncricinfo.com/cricketers/dinesh-karthik-30045,scorecard
Shahbaz Ahmed,12,8,16,1,1,150.00,https://www.espncricinfo.com/cricketers/shahbaz-ahmed-1159711,scorecard
Wanindu Hasaranga,0,1,2,0,0,0.00,https://www.espncricinfo.com/cricketers/wanindu-hasaranga-784379,scorecard
Harshal Patel,1,2,7,0,0,50.00,https://www.espncricinfo.com/cricketers/harshal-patel-390481,scorecard
Josh Hazlewood,1,2,4,0,0,50.00,https://www.espncricinfo.com/cricketers/josh-hazlewood-288284,scorecard
Yashasvi Jaiswal,21,13,25,1,2,161.53,https://www.espncricinfo.com/cricketers/yashasvi-jaiswal-1151278,scorecard
Jos Buttler,106,60,86,10,6,176.66,https://www.espncricinfo.com/cricketers/jos-buttler-308967,scorecard
Sanju Samson (c)†,23,21,29,1,2,109.52,https://www.espncricinfo.com/cricketers/sanju-samson-425943,scorecard
Devdutt Padikkal,9,12,26,0,0,75.00,https://www.espncricinfo.com/cricketers/devdutt-padikkal-1119026,scorecard
Shimron Hetmyer,2,3,8,0,0,66.66,https://www.espncricinfo.com/cricketers/shimron-hetmyer-670025,scorecard
Virat Kohli,25,24,41,2,0,104.16,https://www.espncricinfo.com/cricketers/virat-kohli-253802,scorecard
Faf du Plessis (c),0,1,6,0,0,0.00,https://www.espncricinfo.com/cricketers/faf-du-plessis-44828,scorecard
Rajat Patidar,112,54,100,12,7,207.40,https://www.espncricinfo.com/cricketers/rajat-patidar-823703,scorecard
Glenn Maxwell,9,10,10,0,1,90.00,https://www.espncricinfo.com/cricketers/glenn-maxwell-325026,scorecard
Mahipal Lomror,14,9,16,2,0,155.55,https://www.espncricinfo.com/cricketers/mahipal-lomror-853265,scorecard
Dinesh Karthik †,37,23,41,5,1,160.86,https://www.espncricinfo.com/cricketers/dinesh-karthik-30045,scorecard
Quinton de Kock †,6,5,6,0,1,120.00,https://www.espncricinfo.com/cricketers/quinton-de-kock-379143,scorecard
KL Rahul (c),79,58,108,3,5,136.20,https://www.espncricinfo.com/cricketers/kl-rahul-422108,scorecard
Manan Vohra,19,11,21,1,2,172.72,https://www.espncricinfo.com/cricketers/manan-vohra-532856,scorecard
Deepak Hooda,45,26,54,1,4,173.07,https://www.espncricinfo.com/cricketers/deepak-hooda-497121,scorecard
Marcus Stoinis,9,9,20,0,1,100.00,https://www.espncricinfo.com/cricketers/marcus-stoinis-325012,scorecard
Evin Lewis,2,6,20,0,0,33.33,https://www.espncricinfo.com/cricketers/evin-lewis-431901,scorecard
Krunal Pandya,0,1,2,0,0,0.00,https://www.espncricinfo.com/cricketers/krunal-pandya-471342,scorecard
Dushmantha Chameera,11,4,9,1,1,275.00,https://www.espncricinfo.com/cricketers/dushmantha-chameera-552152,scorecard
Yashasvi Jaiswal,3,8,11,0,0,37.50,https://www.espncricinfo.com/cricketers/yashasvi-jaiswal-1151278,scorecard
Jos Buttler,89,56,109,12,2,158.92,https://www.espncricinfo.com/cricketers/jos-buttler-308967,scorecard
Sanju Samson (c)†,47,26,40,5,3,180.76,https://www.espncricinfo.com/cricketers/sanju-samson-425943,scorecard
Devdutt Padikkal,28,20,23,2,2,140.00,https://www.espncricinfo.com/cricketers/devdutt-padikkal-1119026,scorecard
Shimron Hetmyer,4,7,25,0,0,57.14,https://www.espncricinfo.com/cricketers/shimron-hetmyer-670025,scorecard
Riyan Parag,4,3,9,0,0,133.33,https://www.espncricinfo.com/cricketers/riyan-parag-1079434,scorecard
Ravichandran Ashwin,2,1,4,0,0,200.00,https://www.espncricinfo.com/cricketers/ravichandran-ashwin-26421,scorecard
Trent Boult,0,0,1,0,0,-,https://www.espncricinfo.com/cricketers/trent-boult-277912,scorecard
Wriddhiman Saha †,0,2,3,0,0,0.00,https://www.espncricinfo.com/cricketers/wriddhiman-saha-279810,scorecard
Shubman Gill,35,21,42,5,1,166.66,https://www.espncricinfo.com/cricketers/shubman-gill-1070173,scorecard
Matthew Wade,35,30,49,6,0,116.66,https://www.espncricinfo.com/cricketers/matthew-wade-230193,scorecard
Hardik Pandya (c),40,27,66,5,0,148.14,https://www.espncricinfo.com/cricketers/hardik-pandya-625371,scorecard
David Miller,68,38,56,3,5,178.94,https://www.espncricinfo.com/cricketers/david-miller-321777,scorecard
Priyam Garg,4,7,13,0,0,57.14,https://www.espncricinfo.com/cricketers/priyam-garg-1070180,scorecard
Abhishek Sharma,43,32,47,5,2,134.37,https://www.espncricinfo.com/cricketers/abhishek-sharma-1070183,scorecard
Rahul Tripathi,20,18,28,1,1,111.11,https://www.espncricinfo.com/cricketers/rahul-tripathi-446763,scorecard
Aiden Markram,21,17,29,2,0,123.52,https://www.espncricinfo.com/cricketers/aiden-markram-600498,scorecard
Nicholas Pooran †,5,10,12,0,0,50.00,https://www.espncricinfo.com/cricketers/nicholas-pooran-604302,scorecard
