Full Name,Born,Age,Batting Style,Bowling Style,Role,Country
Pinnaduwage Wanindu Hasaranga de Silva,"July 29, 1997, Galle",27y 73d,Right hand Bat,Legbreak,Allrounder,Sri Lanka
Aayan Afzal Khan,"November 15, 2005",18y 330d,Right hand Bat,Slow Left arm Orthodox,Bowling Allrounder,United Arab Emirates
Colin Niel Ackermann,"April 04, 1991, George, South Africa",33y 189d,Right hand Bat,Right arm Offbreak,Batting Allrounder,Netherlands
Mark Richard Adair,"March 27, 1996, Holywood, Northern Ireland",28y 197d,Right hand Bat,Right arm Fast medium,Bowling Allrounder,Ireland
Afif Hossain Dhrubo,"September 22, 1999, Khulna",25y 18d,Left hand Bat,Right arm Offbreak,Allrounder,Bangladesh
Ashton Charles Agar,"October 14, 1993, Melbourne, Victoria",30y 362d,Left hand Bat,Slow Left arm Orthodox,Bowler,Australia
Ahmed Raza,"October 10, 1988, Sharjah",36y,Right hand Bat,Slow Left arm Orthodox,Bowler,United Arab Emirates
Moeen Munir Ali,"June 18, 1987, Birmingham",37y 114d,Left hand Bat,Right arm Offbreak,Batting Allrounder,England
Finnley Hugh Allen,"April 22, 1999, Auckland",25y 171d,Right hand Bat,,Top order Batter,New Zealand
Vriitya Aravind,"June 11, 2002, Chennai, India",22y 121d,Right hand Bat,,Wicketkeeper Batter,United Arab Emirates XI
Arshdeep Singh,"February 05, 1999, Guna, Madhya Pradesh",25y 248d,Left hand Bat,Left arm Medium fast,Bowler,India
Aryan Lakra,"December 13, 2001, Sonepat, Haryana",22y 302d,Left hand Bat,Slow Left arm Orthodox,Bowler,United Arab Emirates
Kariyawasam Indipalage Charith Asalanka,"June 29, 1997, Elpitiya",27y 103d,Left hand Bat,Right arm Offbreak,Batting Allrounder,Sri Lanka
Ravichandran Ashwin,"September 17, 1986, Madras (now Chennai), Tamil Nadu",38y 23d,Right hand Bat,Right arm Offbreak,Bowling Allrounder,India
Asif Ali,"October 01, 1991, Faisalabad, Punjab",33y 9d,Right hand Bat,Right arm Offbreak,Middle order Batter,Pakistan
Azmatullah Omarzai,"March 24, 2000",24y 200d,Right hand Bat,Right arm Medium fast,Allrounder,Afghanistan
Stephan Julian Baard,"April 29, 1992, Namibia",32y 164d,Right hand Bat,Right arm Medium fast,Batter,Namibia
Mohammad Babar Azam,"October 15, 1994, Lahore, Punjab",29y 361d,Right hand Bat,Right arm Offbreak,Batter,Pakistan
Andrew Balbirnie,"December 28, 1990, Dublin, Ireland",33y 287d,Right hand Bat,Right arm Offbreak,Batter,Ireland
Koralegedera Nadeeja Ashen Bandara,"November 23, 1998, Galle",25y 322d,Right hand Bat,Legbreak,Middle order Batter,Sri Lanka
Basil Hameed,"April 15, 1992, Panniyankara, Kozhikode, Kerala",32y 178d,Right hand Bat,Right arm Offbreak,Middle order Batter,United Arab Emirates
Temba Bavuma,"May 17, 1990, Cape Town, Cape Province",34y 146d,Right hand Bat,Right arm Medium,Middle order Batter,South Africa
Richard Douglas Berrington,"April 03, 1987, Pretoria, South Africa",37y 190d,Right hand Bat,Right arm Medium fast,Top order Batter,Scotland
