batsmanName,runs,balls,minutes,4s,6s,SR,inning_batted,Average_SR,boundaries,boundary_runs,boundary_percentage,Average_Boundary_Percentage,total_runs,batting_average
Aaron Finch (c),13,11,20,1,1,118.18,3,111.72000000000001,2,10,76.92307692307693,52.19845865007156,107,35.666666666666664
Aaron Finch (c),63,44,87,5,3,143.18,3,111.72000000000001,8,38,60.317460317460316,52.19845865007156,107,35.666666666666664
Aaron Finch (c),31,42,89,0,1,73.8,3,111.72000000000001,1,6,19.35483870967742,52.19845865007156,107,35.666666666666664
Aayan Afzal Khan,5,7,8,0,0,71.42,2,80.945,0,0,0.0,10.526315789473683,24,12.0
Aayan Afzal Khan,19,21,33,1,0,90.47,2,80.945,1,4,21.052631578947366,10.526315789473683,24,12.0
Adam Zampa,0,2,3,0,0,0.0,2,50.0,0,0,,0.0,1,0.5
Adam Zampa,1,1,5,0,0,100.0,2,50.0,0,0,0.0,0.0,1,0.5
Afif Hossain,29,19,40,1,1,152.63,5,98.674,2,10,34.48275862068966,27.422867513611617,95,19.0
Afif Hossain,1,5,8,0,0,20.0,5,98.674,0,0,0.0,27.422867513611617,95,19.0
Afif Hossain,3,5,12,0,0,60.0,5,98.674,0,0,0.0,27.422867513611617,95,19.0
Afif Hossain,24,20,47,3,0,120.0,5,98.674,3,12,50.0,27.422867513611617,95,19.0
Afif Hossain,38,27,47,2,2,140.74,5,98.674,4,20,52.63157894736842,27.422867513611617,95,19.0
Aiden Markram,17,13,30,2,0,130.76,4,122.8325,2,8,47.05882352941176,56.18778280542986,99,24.75
Aiden Markram,20,14,28,4,0,142.85,4,122.8325,4,16,80.0,56.18778280542986,99,24.75
Aiden Markram,10,11,16,1,0,90.9,4,122.8325,1,4,40.0,56.18778280542986,99,24.75
Aiden Markram,52,41,72,6,1,126.82,4,122.8325,7,30,57.692307692307686,56.18778280542986,99,24.75
Akeal Hosein,1,1,4,0,0,100.0,2,113.88499999999999,0,0,0.0,17.391304347826086,24,12.0
Akeal Hosein,23,18,31,2,0,127.77,2,113.88499999999999,2,8,34.78260869565217,17.391304347826086,24,12.0
Alex Hales,1,2,6,0,0,50.0,6,125.77166666666666,0,0,0.0,48.98145098215412,212,35.333333333333336
Alex Hales,47,30,42,7,1,156.66,6,125.77166666666666,8,34,72.3404255319149,48.98145098215412,212,35.333333333333336
Alex Hales,52,40,46,7,1,130.0,6,125.77166666666666,8,34,65.38461538461539,48.98145098215412,212,35.333333333333336
Alex Hales,19,20,41,0,1,95.0,6,125.77166666666666,1,6,31.57894736842105,48.98145098215412,212,35.333333333333336
Alex Hales,86,47,74,4,7,182.97,6,125.77166666666666,11,58,67.44186046511628,48.98145098215412,212,35.333333333333336
Alex Hales,7,5,14,1,0,140.0,6,125.77166666666666,1,4,57.14285714285714,48.98145098215412,212,35.333333333333336
Alishan Sharafu,4,4,10,0,0,100.0,1,100.0,0,0,0.0,0.0,4,4.0
Alzarri Joseph,0,1,4,0,0,0.0,1,0.0,0,0,,,0,0.0
Andy Balbirnie (c),1,5,7,0,0,20.0,7,101.44857142857143,0,0,0.0,49.97669163567781,153,21.857142857142858
Andy Balbirnie (c),3,4,20,0,0,75.0,7,101.44857142857143,0,0,0.0,49.97669163567781,153,21.857142857142858
