batsmanName,inning_batted,Average_SR,Average_Boundary_Percentage,total_runs,batting_average,balls_avg,0
Alex Hales,6.0,125.77166666666666,48.98145098215412,212.0,35.333333333333336,24.0,
Glenn Phillips,5.0,143.72,66.41268914513697,201.0,40.2,25.4,
Suryakumar Yadav,6.0,182.58333333333334,64.20252253907027,239.0,39.833333333333336,21.0,
Virat Kohli,6.0,129.85833333333332,49.676193370184315,296.0,49.333333333333336,36.166666666666664,
,,,,,,,Glenn Phillips
,,,,,,,Suryakumar Yadav
