bowlerName,inningbowled,avg_bowling_economy,avg_bowling_strike,average_bowling_avg,average_dot_ball_%
Aayan Afzal Khan,3,4.61,18.0,15.5,41.67
Adam Zampa,3,6.67,16.0,19.83,33.33
Adil Rashid,6,6.12,20.0,15.67,31.25
Afif Hossain,1,11.0,6.0,11.0,16.67
Ahmed Raza,1,9.0,0.0,0.0,16.67
Aiden Markram,2,6.5,12.0,16.0,20.83
Akeal Hosein,3,7.83,24.0,31.5,34.72
Alzarri Joseph,3,6.92,9.0,9.0,47.22
Anrich Nortje,5,5.27,14.19,11.15,55.33
Arshdeep Singh,6,7.5,11.2,13.93,47.22
Aryan Lakra,1,8.0,18.0,24.0,27.78
Ashton Agar,1,6.25,24.0,25.0,33.33
Axar Patel,5,10.2,15.6,24.5,35.0
Azmatullah Omarzai,2,8.96,0.0,0.0,23.48
Barry McCarthy,7,8.92,16.67,20.89,31.15
Bas de Leede,7,7.88,9.0,10.81,37.5
Basil Hameed,3,8.55,7.5,7.75,46.3
Ben Shikongo,3,11.11,7.5,9.5,22.22
Ben Stokes,6,7.2,14.64,16.7,42.63
Bernard Scholtz,3,5.08,20.0,17.33,43.06
Bhuvneshwar Kumar,6,6.56,17.0,12.5,60.39
Binura Fernando,3,7.0,24.0,30.0,51.39
Blessing Muzarabani,7,7.57,15.71,20.95,47.02
Brad Evans,2,8.46,12.0,12.5,30.56
Brad Wheal,3,6.92,20.0,22.33,45.83
Brandon Glover,3,6.5,7.83,9.5,54.72
Calum MacLeod,1,11.0,0.0,0.0,0.0
Cameron Green,1,6.5,0.0,0.0,58.33
Chamika Karunaratne,6,7.79,22.0,28.33,35.19
Charith Asalanka,1,8.0,0.0,0.0,16.67
Chris Greaves,1,9.0,0.0,0.0,8.33
Chris Jordan,2,8.75,10.0,13.92,35.42
Chris Woakes,6,8.76,18.0,22.12,36.11
Colin Ackermann,3,5.0,18.0,17.0,37.04
Curtis Campher,4,9.04,6.0,4.5,35.42
Dasun Shanaka,3,7.67,6.6,7.0,42.93
David Wiese,3,6.52,18.0,17.5,44.38
Dhananjaya de Silva,6,6.97,10.92,13.2,25.43
Dushmantha Chameera,2,6.83,15.5,22.0,50.6
Ebadot Hossain,1,7.89,18.6,25.0,37.63
Fareed Ahmad,2,12.0,12.0,23.0,20.83
Fazalhaq Farooqi,3,6.51,18.0,19.25,57.41
Fionn Hand,3,11.5,12.0,17.0,33.33
Fred Klaassen,8,6.4,20.0,22.25,51.04
Gareth Delany,7,8.2,14.67,16.11,37.14
George Dockrell,4,7.25,6.0,5.0,29.17
Gerhard Erasmus,2,6.16,0.0,0.0,30.56
Glenn Maxwell,2,5.73,6.15,6.0,40.48
Gulbadin Naib,2,11.16,0.0,0.0,25.0
Hardik Pandya,6,8.29,12.5,15.25,36.57
Haris Rauf,7,7.0,18.0,19.42,43.65
Hasan Mahmud,4,8.38,14.67,19.72,43.75
Iftikhar Ahmed,2,10.3,18.0,15.0,25.0
Ish Sodhi,5,6.71,17.4,19.5,38.12
JJ Smit,3,7.03,15.0,14.0,40.74
Jan Frylinck,3,6.83,18.0,14.5,34.72
Jan Nicol Loftie-Eaton,1,8.0,0.0,0.0,33.33
Jason Holder,3,4.67,7.7,5.5,45.37
Josh Davey,3,9.39,13.5,21.0,36.57
Josh Hazlewood,4,8.25,16.0,21.0,46.53
Josh Little,7,6.94,12.2,12.77,42.66
Junaid Siddique,3,7.92,16.0,21.5,36.11
Kagiso Rabada,5,9.57,21.0,34.0,38.89
Kane Richardson,1,12.0,24.0,48.0,16.67
Karthik Meiyappan,3,6.25,18.67,20.78,43.06
Kashif Daud,2,9.5,0.0,0.0,8.33
Kasun Rajitha,3,8.94,18.0,21.25,44.91
Keshav Maharaj,4,8.02,18.0,18.75,29.86
Kyle Mayers,2,14.5,0.0,0.0,45.83
Lahiru Kumara,6,7.61,15.24,20.8,49.85
Liam Livingstone,5,9.06,6.0,5.67,24.44
Lockie Ferguson,5,8.28,15.5,21.21,38.33
Logan van Beek,6,7.36,12.3,10.25,36.26
Luke Jongwe,3,11.5,9.0,17.5,22.22
Lungi Ngidi,4,9.23,12.0,16.42,38.54
Maheesh Theekshana,8,6.67,16.55,19.0,40.4
Marcus Stoinis,4,9.25,6.0,6.0,17.71
Mark Adair,7,8.5,20.0,27.17,35.12
Mark Watt,3,5.83,18.67,20.67,48.61
Mark Wood,4,7.81,11.0,14.12,50.35
Mehidy Hasan Miraz,1,10.66,0.0,0.0,22.22
Michael Leask,3,6.92,16.0,19.83,26.39
Mitchell Marsh,1,14.0,0.0,0.0,16.67
Mitchell Santner,5,6.45,16.0,16.97,40.83
Mitchell Starc,3,8.5,18.0,22.25,40.28
Moeen Ali,2,4.5,0.0,0.0,33.33
Mohammad Nabi,3,9.11,18.0,16.0,22.22
Mohammad Nawaz,4,6.0,12.0,16.5,35.42
Mohammad Wasim,6,7.33,12.75,16.12,39.12
Mohammed Shami,6,7.43,19.2,19.4,49.77
Mosaddek Hossain,3,10.17,12.0,17.0,29.17
Muhammad Waseem,1,8.0,12.0,16.0,25.0
Mujeeb Ur Rahman,3,7.33,20.0,25.33,37.5
Mustafizur Rahman,5,5.6,18.0,14.25,40.83
Naseem Shah,7,6.19,22.0,17.67,47.82
Nasum Ahmed,1,3.5,24.0,14.0,54.17
Naveen-ul-Haq,1,5.25,8.0,7.0,45.83
Obed McCoy,3,7.46,18.0,19.0,46.3
Odean Smith,3,9.86,21.0,31.0,34.26
Pat Cummins,4,8.25,18.0,25.0,47.92
Paul van Meekeren,8,6.53,17.43,19.24,45.14
Pramod Madushan,3,7.3,15.0,16.25,43.52
Rashid Khan,3,6.42,20.0,20.5,40.28
Ravichandran Ashwin,6,8.69,14.67,20.28,33.1
Richard Ngarava,8,7.96,14.4,18.0,51.04
Roelof van der Merwe,6,7.03,12.0,12.5,29.63
Ruben Trumpelmann,1,5.5,0.0,0.0,41.67
Ryan Burl,3,10.0,0.0,0.0,14.81
Safyaan Sharif,3,8.81,18.9,27.5,27.0
Sam Curran,6,6.63,11.42,12.3,49.41
Sean Williams,7,6.09,13.5,12.88,30.56
Shadab Khan,7,6.46,11.6,11.6,38.1
