batsmanName,inning_batted,Average_SR,Average_Boundary_Percentage,total_runs,batting_average,balls_avg
Glenn Maxwell,4,161.2125,66.01568721133938,118,29.5,18.25
Glenn Phillips,5,143.72,66.41268914513697,201,40.2,25.4
Litton Das,5,131.072,50.358543417366946,127,25.4,17.8
Marcus Stoinis,4,159.2025,46.8910411622276,126,31.5,19.5
Suryakumar Yadav,6,182.58333333333334,64.20252253907027,239,39.833333333333336,21.0
