batsmanName,runs,balls,minutes,4s,6s,SR,match_id
Mohammad Rizwan †,15,14,24,0,1,107.14,scorecard
Babar Azam (c),32,28,58,2,0,114.28,scorecard
Mohammad Haris,8,12,15,1,0,66.66,scorecard
Shan Masood,38,28,46,2,1,135.71,scorecard
Iftikhar Ahmed,0,6,8,0,0,0.00,scorecard
Shadab Khan,20,14,26,2,0,142.85,scorecard
Mohammad Nawaz,5,7,11,0,0,71.42,scorecard
Mohammad Wasim,4,8,12,0,0,50.00,scorecard
Shaheen Shah Afridi,5,3,8,1,0,166.66,scorecard
Haris Rauf,1,1,3,0,0,100.00,scorecard
Jos Buttler (c)†,26,17,33,3,1,152.94,scorecard
Alex Hales,1,2,6,0,0,50.00,scorecard
Phil Salt,10,9,16,2,0,111.11,scorecard
Ben Stokes,52,49,81,5,1,106.12,scorecard
Harry Brook,20,23,36,1,0,86.95,scorecard
Moeen Ali,19,13,30,3,0,146.15,scorecard
Liam Livingstone,1,1,3,0,0,100.00,scorecard
KL Rahul,5,5,8,1,0,100.00,scorecard
Rohit Sharma (c),27,28,37,4,0,96.42,scorecard
Virat Kohli,50,40,75,4,1,125.00,scorecard
Suryakumar Yadav,14,10,14,1,1,140.00,scorecard
Hardik Pandya,63,33,47,4,5,190.90,scorecard
Rishabh Pant †,6,4,13,1,0,150.00,scorecard
Ravichandran Ashwin,0,0,4,0,0,-,scorecard
Jos Buttler (c)†,80,49,74,9,3,163.26,scorecard
Alex Hales,86,47,74,4,7,182.97,scorecard
Finn Allen,4,3,6,1,0,133.33,scorecard
Devon Conway †,21,20,35,3,0,105.00,scorecard
Kane Williamson (c),46,42,81,1,1,109.52,scorecard
Glenn Phillips,6,8,9,1,0,75.00,scorecard
Daryl Mitchell,53,35,60,3,1,151.42,scorecard
James Neesham,16,12,19,1,0,133.33,scorecard
Mohammad Rizwan †,57,43,77,5,0,132.55,scorecard
Babar Azam (c),53,42,56,7,0,126.19,scorecard
Mohammad Haris,30,26,32,2,1,115.38,scorecard
Shan Masood,3,4,13,0,0,75.00,scorecard
Iftikhar Ahmed,0,0,3,0,0,-,scorecard
KL Rahul,51,35,59,3,3,145.71,scorecard
Rohit Sharma (c),15,13,20,2,0,115.38,scorecard
Virat Kohli,26,25,36,2,0,104.00,scorecard
Suryakumar Yadav,61,25,44,6,4,244.00,scorecard
Rishabh Pant †,3,5,7,0,0,60.00,scorecard
Hardik Pandya,18,18,29,2,0,100.00,scorecard
Axar Patel,0,0,6,0,0,-,scorecard
Wessly Madhevere,0,1,1,0,0,0.00,scorecard
Craig Ervine (c),13,15,37,2,0,86.66,scorecard
Regis Chakabva †,0,6,9,0,0,0.00,scorecard
Sean Williams,11,18,22,0,1,61.11,scorecard
Sikandar Raza,34,24,53,3,0,141.66,scorecard
Tony Munyonga,5,4,6,1,0,125.00,scorecard
Ryan Burl,35,22,27,5,1,159.09,scorecard
Wellington Masakadza,1,7,8,0,0,14.28,scorecard
Richard Ngarava,1,2,4,0,0,50.00,scorecard
Tendai Chatara,4,4,11,1,0,100.00,scorecard
Blessing Muzarabani,0,2,5,0,0,0.00,scorecard
Najmul Hossain Shanto,54,48,66,7,0,112.50,scorecard
Litton Das,10,8,15,0,1,125.00,scorecard
Soumya Sarkar,20,17,38,1,1,117.64,scorecard
Shakib Al Hasan (c),0,1,4,0,0,0.00,scorecard
Afif Hossain,24,20,47,3,0,120.00,scorecard
Mosaddek Hossain,5,11,17,0,0,45.45,scorecard
Nurul Hasan †,0,3,4,0,0,0.00,scorecard
Taskin Ahmed,1,5,8,0,0,20.00,scorecard
Nasum Ahmed,7,6,9,1,0,116.66,scorecard
Mustafizur Rahman,0,1,1,0,0,0.00,scorecard
Mohammad Rizwan †,32,32,51,2,1,100.00,scorecard
Babar Azam (c),25,33,46,2,0,75.75,scorecard
Mohammad Nawaz,4,11,27,0,0,36.36,scorecard
Mohammad Haris,31,18,31,1,2,172.22,scorecard
Shan Masood,24,14,20,2,0,171.42,scorecard
Iftikhar Ahmed,1,3,8,0,0,33.33,scorecard
Shadab Khan,0,0,2,0,0,-,scorecard
Stephan Myburgh,37,30,41,7,0,123.33,scorecard
Max O'Dowd,29,31,61,1,1,93.54,scorecard
Tom Cooper,35,19,30,2,2,184.21,scorecard
Colin Ackermann,41,26,31,3,2,157.69,scorecard
Bas de Leede,1,7,11,0,0,14.28,scorecard
Scott Edwards (c)†,12,7,11,2,0,171.42,scorecard
Quinton de Kock †,13,13,12,1,1,100.00,scorecard
Temba Bavuma (c),20,20,26,2,0,100.00,scorecard
Rilee Rossouw,25,19,29,2,0,131.57,scorecard
Aiden Markram,17,13,30,2,0,130.76,scorecard
David Miller,17,17,28,1,0,100.00,scorecard
Heinrich Klaasen,21,18,27,0,1,116.66,scorecard
Wayne Parnell,0,2,3,0,0,0.00,scorecard
Keshav Maharaj,13,12,20,0,1,108.33,scorecard
Kagiso Rabada,9,8,13,0,0,112.50,scorecard
Anrich Nortje,4,1,2,1,0,400.00,scorecard
Pathum Nissanka,67,45,70,2,5,148.88,scorecard
Kusal Mendis †,18,14,21,1,1,128.57,scorecard
Dhananjaya de Silva,9,11,17,0,0,81.81,scorecard
Charith Asalanka,8,9,15,0,0,88.88,scorecard
Bhanuka Rajapaksa,22,22,41,3,0,100.00,scorecard
Dasun Shanaka (c),3,8,12,0,0,37.50,scorecard
Wanindu Hasaranga,9,9,13,1,0,100.00,scorecard
Chamika Karunaratne,0,2,3,0,0,0.00,scorecard
Maheesh Theekshana,0,0,2,0,0,-,scorecard
Jos Buttler (c)†,28,23,35,2,1,121.73,scorecard
Alex Hales,47,30,42,7,1,156.66,scorecard
Ben Stokes,42,36,59,2,0,116.66,scorecard
Harry Brook,4,5,9,0,0,80.00,scorecard
Liam Livingstone,4,6,10,0,0,66.66,scorecard
Moeen Ali,1,5,8,0,0,20.00,scorecard
Sam Curran,6,11,16,0,0,54.54,scorecard
Chris Woakes,5,3,11,1,0,166.66,scorecard
David Warner,25,18,28,5,0,138.88,scorecard
Cameron Green,3,2,12,0,0,150.00,scorecard
Mitchell Marsh,45,30,42,3,2,150.00,scorecard
Steven Smith,4,4,6,1,0,100.00,scorecard
Marcus Stoinis,25,21,41,0,2,119.04,scorecard
Glenn Maxwell,54,32,46,6,2,168.75,scorecard
Matthew Wade (c)†,6,8,14,1,0,75.00,scorecard
Pat Cummins,0,2,4,0,0,0.00,scorecard
Kane Richardson,1,1,6,0,0,100.00,scorecard
Adam Zampa,1,1,5,0,0,100.00,scorecard
Rahmanullah Gurbaz †,30,17,31,2,2,176.47,scorecard
Usman Ghani,2,7,16,0,0,28.57,scorecard
Ibrahim Zadran,26,33,55,2,0,78.78,scorecard
Gulbadin Naib,39,23,38,3,2,169.56,scorecard
Mohammad Nabi (c),1,2,10,0,0,50.00,scorecard
Najibullah Zadran,0,2,3,0,0,0.00,scorecard
Darwish Rasooli,15,13,28,1,0,115.38,scorecard
Rashid Khan,48,23,27,3,4,208.69,scorecard
Naveen-ul-Haq,0,0,4,0,0,-,scorecard
Finn Allen,32,18,30,5,1,177.77,scorecard
Devon Conway †,28,33,55,2,0,84.84,scorecard
Kane Williamson (c),61,35,59,5,3,174.28,scorecard
Glenn Phillips,17,9,9,2,1,188.88,scorecard
Daryl Mitchell,31,21,35,2,0,147.61,scorecard
James Neesham,0,1,3,0,0,0.00,scorecard
Mitchell Santner,0,1,2,0,0,0.00,scorecard
Tim Southee,1,2,7,0,0,50.00,scorecard
Paul Stirling,37,27,39,3,1,137.03,scorecard
Andy Balbirnie (c),30,25,36,0,3,120.00,scorecard
Lorcan Tucker †,13,14,30,0,0,92.85,scorecard
Harry Tector,2,7,4,0,0,28.57,scorecard
Gareth Delany,10,8,12,2,0,125.00,scorecard
George Dockrell,23,15,24,3,0,153.33,scorecard
Curtis Campher,7,7,10,1,0,100.00,scorecard
Fionn Hand,5,3,7,1,0,166.66,scorecard
Mark Adair,4,5,9,0,0,80.00,scorecard
Barry McCarthy,6,5,10,0,0,120.00,scorecard
Josh Little,8,4,3,0,1,200.00,scorecard
Mohammad Rizwan †,4,4,4,1,0,100.00,scorecard
Babar Azam (c),6,15,29,0,0,40.00,scorecard
Mohammad Haris,28,11,19,2,3,254.54,scorecard
Shan Masood,2,6,11,0,0,33.33,scorecard
Iftikhar Ahmed,51,35,73,3,2,145.71,scorecard
Mohammad Nawaz,28,22,32,4,1,127.27,scorecard
Shadab Khan,52,22,31,3,4,236.36,scorecard
Mohammad Wasim,0,1,1,0,0,0.00,scorecard
Naseem Shah,5,3,3,0,0,166.66,scorecard
Haris Rauf,3,2,2,0,0,150.00,scorecard
Temba Bavuma (c),36,19,39,4,1,189.47,scorecard
Quinton de Kock †,0,5,6,0,0,0.00,scorecard
Rilee Rossouw,7,6,10,0,1,116.66,scorecard
Aiden Markram,20,14,28,4,0,142.85,scorecard
Heinrich Klaasen,15,9,18,3,0,166.66,scorecard
Tristan Stubbs,18,18,28,0,1,100.00,scorecard
Wayne Parnell,3,4,9,0,0,75.00,scorecard
Kagiso Rabada,1,2,11,0,0,50.00,scorecard
Anrich Nortje,1,5,8,0,0,20.00,scorecard
Lungi Ngidi,4,1,5,1,0,400.00,scorecard
Tabraiz Shamsi,1,1,3,0,0,100.00,scorecard
KL Rahul,50,32,49,3,4,156.25,scorecard
Rohit Sharma (c),2,8,18,0,0,25.00,scorecard
Virat Kohli,64,44,84,8,1,145.45,scorecard
Suryakumar Yadav,30,16,18,4,0,187.50,scorecard
Hardik Pandya,5,6,8,0,0,83.33,scorecard
Dinesh Karthik †,7,5,12,1,0,140.00,scorecard
Axar Patel,7,6,6,1,0,116.66,scorecard
Ravichandran Ashwin,13,6,9,1,1,216.66,scorecard
Najmul Hossain Shanto,21,25,50,1,1,84.00,scorecard
Litton Das,60,27,40,7,3,222.22,scorecard
Shakib Al Hasan (c),13,12,24,2,0,108.33,scorecard
Afif Hossain,3,5,12,0,0,60.00,scorecard
Yasir Ali,1,3,8,0,0,33.33,scorecard
Nurul Hasan †,25,14,29,2,1,178.57,scorecard
Mosaddek Hossain,6,3,4,0,1,200.00,scorecard
Taskin Ahmed,12,7,22,1,1,171.42,scorecard
Wessly Madhevere,1,5,9,0,0,20.00,scorecard
Craig Ervine (c),3,12,18,0,0,25.00,scorecard
Regis Chakabva †,5,16,18,1,0,31.25,scorecard
Sean Williams,28,23,39,3,0,121.73,scorecard
