bowlerName,overs,maidens,runs,wickets,economy,dots,fours,sixes,wides,no_balls,match_id
Mujeeb Ur Rahman,4,0,42,1,10.50,5,4,1,1,0,scorecard
Naveen-ul-Haq,4,0,21,3,5.25,11,2,0,0,0,scorecard
Gulbadin Naib,3,0,31,0,10.33,6,3,2,0,0,scorecard
Rashid Khan,4,0,29,1,7.25,9,2,1,1,0,scorecard
Mohammad Nabi,1,0,14,0,14.00,1,1,1,0,0,scorecard
Josh Hazlewood,4,0,33,2,8.25,13,2,3,0,0,scorecard
Pat Cummins,4,0,22,0,5.50,12,2,0,0,0,scorecard
Marcus Stoinis,2,0,26,0,13.00,2,2,1,2,0,scorecard
Kane Richardson,4,0,48,1,12.00,4,3,3,1,0,scorecard
Adam Zampa,4,0,22,2,5.50,11,1,0,0,0,scorecard
Cameron Green,2,0,13,0,6.50,7,1,1,0,0,scorecard
Josh Little,4,0,22,3,5.50,10,2,0,1,0,scorecard
Mark Adair,4,0,39,1,9.75,9,3,1,3,0,scorecard
Barry McCarthy,4,0,46,0,11.50,4,4,2,0,0,scorecard
Gareth Delany,4,0,30,2,7.50,11,3,1,1,0,scorecard
Fionn Hand,2,0,22,0,11.00,2,2,1,0,0,scorecard
George Dockrell,2,0,18,0,9.00,4,2,0,2,0,scorecard
Trent Boult,4,0,38,0,9.50,8,4,1,0,0,scorecard
Tim Southee,4,0,29,2,7.25,8,2,1,0,0,scorecard
Lockie Ferguson,4,0,22,3,5.50,10,1,0,0,0,scorecard
Mitchell Santner,4,0,26,2,6.50,12,3,1,0,0,scorecard
Ish Sodhi,4,0,31,2,7.75,10,0,2,1,0,scorecard
Wayne Parnell,4,0,31,1,7.75,10,3,1,0,0,scorecard
Kagiso Rabada,4,0,44,1,11.00,7,4,2,0,0,scorecard
Lungi Ngidi,4,0,32,1,8.00,11,3,1,2,0,scorecard
Anrich Nortje,4,0,41,4,10.25,11,1,4,0,1,scorecard
Tabraiz Shamsi,4,0,36,1,9.00,8,2,2,2,0,scorecard
Shaheen Shah Afridi,3,0,14,3,4.66,11,2,0,0,0,scorecard
Naseem Shah,3,0,19,1,6.33,10,1,1,1,0,scorecard
Haris Rauf,3,0,44,1,14.66,2,7,1,1,0,scorecard
Mohammad Wasim,2,0,13,1,6.50,3,1,0,0,0,scorecard
Shadab Khan,2,0,16,2,8.00,5,1,1,0,0,scorecard
Mohammad Nawaz,1,0,2,0,2.00,4,0,0,0,0,scorecard
Taskin Ahmed,4,0,15,0,3.75,16,2,0,0,0,scorecard
Shoriful Islam,4,0,57,0,14.25,7,4,4,2,2,scorecard
Hasan Mahmud,4,0,47,3,11.75,7,6,2,0,1,scorecard
Mustafizur Rahman,4,0,31,0,7.75,9,4,0,0,0,scorecard
Shakib Al Hasan,4,0,33,2,8.25,3,2,0,0,0,scorecard
Bhuvneshwar Kumar,3,0,27,0,9.00,7,2,2,0,0,scorecard
Arshdeep Singh,4,0,38,2,9.50,10,5,1,0,0,scorecard
Mohammed Shami,3,0,25,1,8.33,7,2,1,0,0,scorecard
Axar Patel,1,0,6,0,6.00,2,0,0,0,0,scorecard
Ravichandran Ashwin,2,0,19,0,9.50,4,3,0,1,0,scorecard
Hardik Pandya,3,0,28,2,9.33,8,1,3,0,0,scorecard
Fred Klaassen,4,0,17,1,4.25,17,0,1,2,0,scorecard
Paul van Meekeren,4,0,29,3,7.25,13,3,0,2,0,scorecard
Brandon Glover,4,1,29,2,7.25,15,2,2,2,0,scorecard
Logan van Beek,2.2,0,17,2,7.28,8,1,1,1,0,scorecard
Bas de Leede,4,0,14,2,3.50,11,0,0,0,0,scorecard
Roelof van der Merwe,1,0,8,0,8.00,2,1,0,0,0,scorecard
Tendai Chatara,4,0,22,0,5.50,14,4,0,0,0,scorecard
Richard Ngarava,4,0,18,2,4.50,15,1,1,0,0,scorecard
