bowlerName,overs,maidens,runs,wickets,economy,dots,fours,sixes,wides,no_balls,inningbowled,avg_bowling_economy,bowling SR,avg_bowling_strike,bowling_avg,average_bowling_avg,dot_ball_percentage,average_dot_ball_%
Paul van Meekeren,4.0,0,29,3,7.25,13,3,0,2,0,8,6.53,8.0,17.43,9.67,19.24,54.17,45.14
Paul van Meekeren,4.0,0,32,1,8.0,9,3,1,0,0,8,6.53,24.0,17.43,32.0,19.24,37.5,45.14
Paul van Meekeren,4.0,0,21,0,5.25,11,1,0,0,0,8,6.53,0.0,17.43,0.0,19.24,45.83,45.14
Paul van Meekeren,4.0,0,19,1,4.75,15,2,0,0,0,8,6.53,24.0,17.43,19.0,19.24,62.5,45.14
Pramod Madushan,4.0,0,37,2,9.25,6,3,1,0,0,3,7.3,12.0,15.0,18.5,16.25,25.0,43.52
Pramod Madushan,3.0,0,14,1,4.66,12,2,0,1,0,3,7.3,18.0,15.0,14.0,16.25,66.67,43.52
Pramod Madushan,3.0,0,24,0,8.0,7,2,1,0,0,3,7.3,0.0,15.0,0.0,16.25,38.89,43.52
Rashid Khan,4.0,0,29,1,7.25,9,2,1,1,0,3,6.42,24.0,20.0,29.0,20.5,37.5,40.28
Rashid Khan,4.0,0,31,2,7.75,10,2,1,1,0,3,6.42,12.0,20.0,15.5,20.5,41.67,40.28
Rashid Khan,4.0,0,17,1,4.25,10,0,0,0,0,3,6.42,24.0,20.0,17.0,20.5,41.67,40.28
Ravichandran Ashwin,2.0,0,27,0,13.5,1,1,2,1,0,6,8.69,0.0,14.67,0.0,20.28,8.33,33.1
Ravichandran Ashwin,4.0,0,43,1,10.75,5,1,4,0,0,6,8.69,24.0,14.67,43.0,20.28,20.83,33.1
Ravichandran Ashwin,3.0,0,23,0,7.66,5,0,1,1,0,6,8.69,0.0,14.67,0.0,20.28,27.78,33.1
Ravichandran Ashwin,2.0,0,19,0,9.5,4,3,0,1,0,6,8.69,0.0,14.67,0.0,20.28,33.33,33.1
Ravichandran Ashwin,4.0,0,22,3,5.5,13,3,0,1,0,6,8.69,8.0,14.67,7.33,20.28,54.17,33.1
Ravichandran Ashwin,4.0,0,21,2,5.25,13,1,1,1,0,6,8.69,12.0,14.67,10.5,20.28,54.17,33.1
Richard Ngarava,3.0,0,20,0,6.66,9,1,1,1,0,8,7.96,0.0,14.4,0.0,18.0,50.0,51.04
Richard Ngarava,4.0,0,22,2,5.5,13,3,0,0,0,8,7.96,12.0,14.4,11.0,18.0,54.17,51.04
Richard Ngarava,4.0,1,44,1,11.0,12,2,4,1,1,8,7.96,24.0,14.4,44.0,18.0,50.0,51.04
Richard Ngarava,4.0,0,28,2,7.0,12,4,0,1,1,8,7.96,12.0,14.4,14.0,18.0,50.0,51.04
Richard Ngarava,4.0,0,24,2,6.0,11,2,0,2,0,8,7.96,12.0,14.4,12.0,18.0,45.83,51.04
Richard Ngarava,4.0,0,24,0,6.0,15,2,1,2,0,8,7.96,0.0,14.4,0.0,18.0,62.5,51.04
Richard Ngarava,1.0,0,17,0,17.0,2,4,0,0,1,8,7.96,0.0,14.4,0.0,18.0,33.33,51.04
Richard Ngarava,4.0,0,18,2,4.5,15,1,1,0,0,8,7.96,12.0,14.4,9.0,18.0,62.5,51.04
Roelof van der Merwe,3.0,0,19,1,6.33,7,0,1,0,0,6,7.03,18.0,12.0,19.0,12.5,38.89,29.63
Roelof van der Merwe,1.0,0,6,1,6.0,1,0,0,1,0,6,7.03,6.0,12.0,6.0,12.5,16.67,29.63
Roelof van der Merwe,1.0,0,7,0,7.0,1,0,0,0,0,6,7.03,0.0,12.0,0.0,12.5,16.67,29.63
Roelof van der Merwe,3.0,0,16,0,5.33,10,2,0,0,0,6,7.03,0.0,12.0,0.0,12.5,55.56,29.63
Roelof van der Merwe,2.0,0,19,0,9.5,2,2,0,0,0,6,7.03,0.0,12.0,0.0,12.5,16.67,29.63
Roelof van der Merwe,1.0,0,8,0,8.0,2,1,0,0,0,6,7.03,0.0,12.0,0.0,12.5,33.33,29.63
Ruben Trumpelmann,4.0,0,22,0,5.5,10,0,0,3,0,1,5.5,0.0,0.0,0.0,0.0,41.67,41.67
Ryan Burl,1.0,0,14,0,14.0,1,1,1,0,0,3,10.0,0.0,0.0,0.0,0.0,16.67,14.81
Ryan Burl,1.0,0,7,0,7.0,0,0,0,0,0,3,10.0,0.0,0.0,0.0,0.0,0.0,14.81
Ryan Burl,3.0,0,27,0,9.0,5,3,1,0,0,3,10.0,0.0,0.0,0.0,0.0,27.78,14.81
Safyaan Sharif,3.0,0,32,1,10.66,3,4,0,1,0,3,8.81,18.0,18.9,32.0,27.5,16.67,27.0
Safyaan Sharif,3.3,0,23,1,6.57,7,2,0,2,0,3,8.81,19.8,18.9,23.0,27.5,35.35,27.0
Safyaan Sharif,2.3,0,23,0,9.2,4,3,0,0,1,3,8.81,0.0,18.9,0.0,27.5,28.99,27.0
Sam Curran,3.4,0,10,5,2.72,16,1,0,1,0,6,6.63,4.08,11.42,2.0,12.3,78.43,49.41
Sam Curran,4.0,0,12,3,3.0,15,0,0,0,0,6,6.63,8.0,11.42,4.0,12.3,62.5,49.41
Sam Curran,4.0,0,27,1,6.75,10,2,1,0,0,6,6.63,24.0,11.42,27.0,12.3,41.67,49.41
Sam Curran,4.0,0,42,0,10.5,9,5,2,0,0,6,6.63,0.0,11.42,0.0,12.3,37.5,49.41
Sam Curran,3.0,0,31,2,10.33,7,1,2,0,0,6,6.63,9.0,11.42,15.5,12.3,38.89,49.41
Sam Curran,4.0,0,26,2,6.5,9,0,0,2,0,6,6.63,12.0,11.42,13.0,12.3,37.5,49.41
Sean Williams,2.0,0,15,0,7.5,1,0,0,1,0,7,6.09,0.0,13.5,0.0,12.88,8.33,30.56
Sean Williams,3.0,0,17,1,5.66,7,1,0,0,1,7,6.09,18.0,13.5,17.0,12.88,38.89,30.56
Sean Williams,3.0,0,19,0,6.33,4,1,0,0,0,7,6.09,0.0,13.5,0.0,12.88,22.22,30.56
